,trnA,nad2,nad5,trnK,trnP,trnV,atp6,nad4L,trnQ,rrnL,trnW,trnF,trnH,trnT,trnN,trnM,trnI,rrnS,nad4,cox3,nad1,trnE,atp8,trnL,cox2,cox1,trnS,nad3,trnY,trnR,cob,trnC,nad6,trnD,trnG
trnT,0.01694915254237288,0.0,0.01694915254237288,0.0,0.01694915254237288,0.0847457627118644,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,1,0.0,0.01694915254237288,0.0,0.13559322033898305,0.0,0.0,0.1016949152542373,0.0,0.01694915254237288,0.0,0.0,0.03389830508474576,0.01694915254237288,0.0,0.01694915254237288,0.0,0.4915254237288136,0.01694915254237288,0.0,0.01694915254237288,0.0
trnN,0.0,0.0,0.0,0.03389830508474576,0.03389830508474576,0.0,0.0,0.03389830508474576,0.13559322033898305,0.0,0.423728813559322,0.0,0.0,0.0,1,0.01694915254237288,0.05084745762711865,0.0,0.03389830508474576,0.01694915254237288,0.0,0.0,0.0,0.4067796610169492,0.0,0.0,0.0,0.01694915254237288,0.05084745762711865,0.01694915254237288,0.15254237288135594,0.01694915254237288,0.0,0.0847457627118644,0.0
trnM,0.3728813559322034,0.9152542372881356,0.0,0.0,0.03389830508474576,0.03389830508474576,0.0,0.05084745762711865,0.03389830508474576,0.0,0.1864406779661017,0.3389830508474576,0.01694915254237288,0.01694915254237288,0.01694915254237288,1,0.5084745762711864,0.0,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.06779661016949153,0.0,0.0,0.03389830508474576,0.11864406779661017,0.0,0.13559322033898305,0.0,0.0,0.03389830508474576,0.13559322033898305
trnI,0.01694915254237288,0.0,0.01694915254237288,0.0,0.0,0.0,0.05084745762711865,0.13559322033898305,0.01694915254237288,0.05084745762711865,0.13559322033898305,0.01694915254237288,0.0,0.0,0.05084745762711865,0.5084745762711864,1,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.4745762711864407,0.03389830508474576,0.0,0.0847457627118644,0.0,0.5932203389830508,0.01694915254237288,0.0,0.0,0.0,0.11864406779661017,0.0
rrnS,0.0,0.0,0.1016949152542373,0.01694915254237288,0.0,0.0,0.0,0.0,0.05084745762711865,0.23728813559322035,0.01694915254237288,0.6779661016949152,0.0,0.13559322033898305,0.0,0.0,0.0,1,0.0,0.13559322033898305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.559322033898305
nad4,0.0,0.0,0.0,0.0,0.7288135593220338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6779661016949152,0.0,0.03389830508474576,0.03389830508474576,0.0,0.0,1,0.01694915254237288,0.0,0.03389830508474576,0.0,0.01694915254237288,0.0,0.0,0.01694915254237288,0.0,0.0,0.01694915254237288,0.11864406779661017,0.0,0.2542372881355932,0.0,0.0
cox3,0.0,0.05084745762711865,0.01694915254237288,0.0,0.0,0.0,0.3220338983050847,0.0,0.559322033898305,0.0,0.0847457627118644,0.13559322033898305,0.0,0.0,0.01694915254237288,0.0,0.0,0.13559322033898305,0.01694915254237288,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.6440677966101694,0.0,0.0,0.0,0.0,0.0
nad1,0.01694915254237288,0.0,0.0,0.13559322033898305,0.01694915254237288,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016949152542373,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,1,0.0,0.0,0.5423728813559322,0.01694915254237288,0.1016949152542373,0.05084745762711865,0.13559322033898305,0.03389830508474576,0.0,0.0847457627118644,0.5423728813559322,0.0,0.01694915254237288,0.0
trnE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.6440677966101694,0.0,0.0,0.0,0.0,0.0,0.03389830508474576,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7288135593220338,0.0,0.03389830508474576
atp8,0.0,0.0,0.0,0.5423728813559322,0.0,0.11864406779661017,0.9152542372881356,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.2542372881355932,0.0,0.0,0.0,0.01694915254237288,0.0,0.01694915254237288,0.0,0.0,0.01694915254237288,0.0
trnL,0.0,0.0,0.15254237288135594,0.01694915254237288,0.03389830508474576,0.0,0.0,0.05084745762711865,0.01694915254237288,0.0,0.1694915254237288,0.01694915254237288,0.0,0.0,0.4067796610169492,0.0,0.4745762711864407,0.0,0.01694915254237288,0.0,0.5423728813559322,0.0,0.0,1,0.01694915254237288,0.0,0.01694915254237288,0.01694915254237288,0.15254237288135594,0.05084745762711865,0.5084745762711864,0.01694915254237288,0.0,0.0,0.13559322033898305
cox2,0.2033898305084746,0.0,0.0,0.4576271186440678,0.01694915254237288,0.13559322033898305,0.0,0.11864406779661017,0.0,0.2033898305084746,0.0,0.05084745762711865,0.0,0.0,0.0,0.06779661016949153,0.03389830508474576,0.0,0.0,0.0,0.01694915254237288,0.0,0.2542372881355932,0.01694915254237288,1,0.2033898305084746,0.03389830508474576,0.0,0.0,0.0,0.13559322033898305,0.01694915254237288,0.0,0.0,0.0
cox1,0.01694915254237288,0.0,0.1016949152542373,0.0,0.01694915254237288,0.0,0.0,0.3898305084745763,0.1016949152542373,0.06779661016949153,0.0,0.0,0.03389830508474576,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.1016949152542373,0.0,0.0,0.0,0.2033898305084746,1,0.6101694915254238,0.06779661016949153,0.01694915254237288,0.01694915254237288,0.0,0.01694915254237288,0.0,0.01694915254237288,0.0
trnS,0.01694915254237288,0.0,0.01694915254237288,0.01694915254237288,0.6440677966101694,0.0,0.03389830508474576,0.01694915254237288,0.0,0.06779661016949153,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0847457627118644,0.0,0.01694915254237288,0.01694915254237288,0.05084745762711865,0.0,0.0,0.01694915254237288,0.03389830508474576,0.6101694915254238,1,0.0,0.0,0.03389830508474576,0.03389830508474576,0.2542372881355932,0.0,0.3389830508474576,0.0
nad3,0.0,0.0,0.0,0.03389830508474576,0.0,0.0,0.0,0.15254237288135594,0.0,0.0,0.01694915254237288,0.03389830508474576,0.0,0.0,0.01694915254237288,0.03389830508474576,0.0,0.01694915254237288,0.0,0.0,0.13559322033898305,0.0,0.0,0.01694915254237288,0.0,0.06779661016949153,0.0,1,0.0,0.4915254237288136,0.0,0.0,0.7796610169491526,0.13559322033898305,0.0
trnY,0.0,0.0,0.0,0.05084745762711865,0.01694915254237288,0.0,0.0,0.01694915254237288,0.0,0.0847457627118644,0.0,0.0,0.0,0.01694915254237288,0.05084745762711865,0.11864406779661017,0.5932203389830508,0.0,0.0,0.0,0.03389830508474576,0.0,0.01694915254237288,0.15254237288135594,0.0,0.01694915254237288,0.0,0.0,1,0.01694915254237288,0.05084745762711865,0.0,0.01694915254237288,0.0,0.0
trnR,0.0,0.0,0.0,0.03389830508474576,0.05084745762711865,0.01694915254237288,0.5932203389830508,0.6271186440677966,0.0,0.11864406779661017,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.01694915254237288,0.0,0.01694915254237288,0.6440677966101694,0.0,0.0,0.0,0.05084745762711865,0.0,0.01694915254237288,0.03389830508474576,0.4915254237288136,0.01694915254237288,1,0.03389830508474576,0.0,0.0,0.0,0.01694915254237288
cob,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1694915254237288,0.0,0.0,0.4915254237288136,0.15254237288135594,0.13559322033898305,0.0,0.0,0.11864406779661017,0.0,0.0847457627118644,0.0,0.01694915254237288,0.5084745762711864,0.13559322033898305,0.0,0.03389830508474576,0.0,0.05084745762711865,0.03389830508474576,1,0.0,0.01694915254237288,0.0,0.0
trnC,0.01694915254237288,0.0,0.0,0.13559322033898305,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.05084745762711865,0.0,0.01694915254237288,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.5423728813559322,0.0,0.0,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.2542372881355932,0.0,0.0,0.0,0.0,1,0.0,0.3728813559322034,0.01694915254237288
nad6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.2542372881355932,0.0,0.0,0.7288135593220338,0.0,0.0,0.0,0.0,0.0,0.7796610169491526,0.01694915254237288,0.0,0.01694915254237288,0.0,1,0.11864406779661017,0.01694915254237288
trnD,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389830508474576,0.0,0.0,0.01694915254237288,0.01694915254237288,0.0847457627118644,0.03389830508474576,0.11864406779661017,0.0,0.0,0.0,0.01694915254237288,0.0,0.01694915254237288,0.0,0.0,0.01694915254237288,0.3389830508474576,0.13559322033898305,0.0,0.0,0.0,0.3728813559322034,0.11864406779661017,1,0.0
trnG,0.0,0.0,0.0,0.0,0.0,0.5084745762711864,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.03389830508474576,0.0,0.0,0.13559322033898305,0.0,0.559322033898305,0.0,0.0,0.0,0.03389830508474576,0.0,0.13559322033898305,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.01694915254237288,0.01694915254237288,0.0,1
